date,visitor,home,visitor_points,home_points
2023-12-14,Chicago Bulls,Miami Heat, 124,116 
2023-12-14,Minnesota Timberwolves,Dallas Mavericks, 119,101 
2023-12-14,Brooklyn Nets,Denver Nuggets, 101,124 
2023-12-14,Utah Jazz,Portland Trail Blazers, 122,114 
2023-12-14,Oklahoma City Thunder,Sacramento Kings, 123,128 
2023-12-14,Golden State Warriors,LA Clippers, 113,121 
2023-12-15,New Orleans Pelicans,Charlotte Hornets, 112,107 
2023-12-15,Detroit Pistons,Philadelphia 76ers, 92,124 
2023-12-15,Indiana Pacers,Washington Wizards, 123,137 
2023-12-15,Orlando Magic,Boston Celtics, 111,128 
2023-12-15,Atlanta Hawks,Toronto Raptors, 125,104 
2023-12-15,Los Angeles Lakers,San Antonio Spurs, 115,129 
2023-12-15,Houston Rockets,Memphis Grizzlies, 103,96 
2023-12-15,New York Knicks,Phoenix Suns, 139,122 
2023-12-16,Detroit Pistons,Milwaukee Bucks, 114,146 
2023-12-16,Philadelphia 76ers,Charlotte Hornets, 135,82 
2023-12-16,Atlanta Hawks,Cleveland Cavaliers, 119,127 
2023-12-16,Chicago Bulls,Miami Heat, 116,118 
2023-12-16,Indiana Pacers,Minnesota Timberwolves, 109,127 
2023-12-16,Brooklyn Nets,Golden State Warriors, 120,124 
2023-12-16,Oklahoma City Thunder,Denver Nuggets, 118,117 
2023-12-16,Dallas Mavericks,Portland Trail Blazers, 131,120 
2023-12-16,Utah Jazz,Sacramento Kings, 104,125 
2023-12-16,New York Knicks,LA Clippers, 122,144 
2023-12-17,Orlando Magic,Boston Celtics, 97,114 
2023-12-17,New Orleans Pelicans,San Antonio Spurs, 146,110 
2023-12-17,Houston Rockets,Milwaukee Bucks, 119,128 
2023-12-17,Washington Wizards,Phoenix Suns, 108,112 
2023-12-17,Golden State Warriors,Portland Trail Blazers, 118,114 
2023-12-18,Houston Rockets,Cleveland Cavaliers, 130,135 
2023-12-18,LA Clippers,Indiana Pacers, 151,127 
2023-12-18,Chicago Bulls,Philadelphia 76ers, 108,104 
2023-12-18,Detroit Pistons,Atlanta Hawks, 124,130 
2023-12-18,Minnesota Timberwolves,Miami Heat, 112,108 
2023-12-18,Charlotte Hornets,Toronto Raptors, 99,114 
2023-12-18,Memphis Grizzlies,Oklahoma City Thunder, 97,116 
2023-12-18,Dallas Mavericks,Denver Nuggets, 99,114 
2023-12-18,Brooklyn Nets,Utah Jazz, 108,125 
2023-12-18,Washington Wizards,Sacramento Kings, 131,143 
2023-12-18,New York Knicks,Los Angeles Lakers, 114,109 
2023-12-19,Memphis Grizzlies,New Orleans Pelicans, 115,113 
2023-12-19,San Antonio Spurs,Milwaukee Bucks, 119,132 
2023-12-19,Boston Celtics,Golden State Warriors, 126,132 
2023-12-19,Phoenix Suns,Portland Trail Blazers, 104,109 
2023-12-20,Utah Jazz,Cleveland Cavaliers, 116,124 
2023-12-20,Charlotte Hornets,Indiana Pacers, 113,144 
2023-12-20,Miami Heat,Orlando Magic, 115,106 
