date,visitor,home,visitor_points,home_points
2015-12-05,Sacramento Kings,Houston Rockets,113.0,120.0
2015-12-05,Portland Trail Blazers,Minnesota Timberwolves,109.0,103.0
2015-12-05,Denver Nuggets,Philadelphia 76ers,108.0,105.0
2015-12-05,Golden State Warriors,Toronto Raptors,112.0,109.0
2015-12-05,New York Knicks,Milwaukee Bucks,91.0,106.0
2015-12-05,Boston Celtics,San Antonio Spurs,105.0,108.0
2015-12-05,Cleveland Cavaliers,Miami Heat,84.0,99.0
2015-12-05,Charlotte Hornets,Chicago Bulls,102.0,96.0
2015-12-05,Indiana Pacers,Utah Jazz,119.0,122.0
2015-12-06,Golden State Warriors,Brooklyn Nets,114.0,98.0
2015-12-06,Los Angeles Lakers,Detroit Pistons,91.0,111.0
2015-12-06,Sacramento Kings,Oklahoma City Thunder,95.0,98.0
2015-12-06,Phoenix Suns,Memphis Grizzlies,93.0,95.0
2015-12-06,Dallas Mavericks,Washington Wizards,116.0,104.0
2015-12-07,LA Clippers,Minnesota Timberwolves,110.0,106.0
2015-12-07,Los Angeles Lakers,Toronto Raptors,93.0,102.0
2015-12-07,Detroit Pistons,Charlotte Hornets,84.0,104.0
2015-12-07,Boston Celtics,New Orleans Pelicans,111.0,93.0
2015-12-07,Washington Wizards,Miami Heat,114.0,103.0
