home_team,visitor_team,home_points,visitor_ORtg,home_ORtg,visitor_DRtg,home_DRtg,visitor_ts%,home_ts%,home_win
Golden State Warriors,Minnesota Timberwolves,126.0,106.68429003021147,126.50602409638554,118.95770392749245,113.45381526104418,0.5187293426367976,0.6589958158995817,1
Charlotte Hornets,Atlanta Hawks,121.0,105.76923076923077,118.53448275862068,116.34615384615385,107.75862068965519,0.6111111111111112,0.5926724137931034,1
Cleveland Cavaliers,Indiana Pacers,115.0,104.00616332819723,115.32290413156838,110.74730354391372,108.30324909747293,0.5634390651085142,0.6554947560419516,1
Toronto Raptors,Utah Jazz,93.0,97.74284562676341,95.40418547394337,93.71221281741235,99.50759130077964,0.5039484621778887,0.4537470725995316,0
Chicago Bulls,Los Angeles Lakers,103.0,105.5512118842846,102.4264120922832,100.66458170445662,107.39856801909306,0.5226480836236934,0.49729625337968325,0
New Orleans Pelicans,Houston Rockets,115.0,109.284332688588,114.72466081404629,111.21856866537716,112.7294493216281,0.6049250535331906,0.6302060499780798,1
Milwaukee Bucks,Brooklyn Nets,116.0,90.27777777777779,118.60940695296524,115.07936507936509,93.04703476482618,0.4652351738241309,0.6318082788671024,1
Memphis Grizzlies,LA Clippers,100.0,109.26222935044106,100.080064051241,100.24057738572574,109.08726981585268,0.58753773178094,0.5623031938821412,0
Dallas Mavericks,Portland Trail Blazers,93.0,114.90549828178693,99.48652118100128,99.87113402061856,114.46298673513051,0.6003141831238779,0.4819651741293532,0
San Antonio Spurs,Philadelphia 76ers,78.0,115.5862726406101,89.73768982972848,92.94566253574833,111.59687068568797,0.5579843534284399,0.4703328509406657,0
