home_team,visitor_team,visitor_points,home_points,visitor_fgm,home_fgm,visitor_ORtg,home_ORtg,visitor_DRtg,home_DRtg,total_points
Golden State Warriors,New York Knicks,112.0,123.0,43.0,46.0,113.86742578283855,122.02380952380953,125.0508336722245,111.11111111111111,235.0
Los Angeles Lakers,Boston Celtics,107.0,108.0,42.0,40.0,108.73983739837398,105.01750291715285,109.75609756097559,104.04511863088293,215.0
Indiana Pacers,Phoenix Suns,101.0,116.0,35.0,45.0,98.28727131179447,115.99999999999999,112.88439081354613,101.0,217.0
Charlotte Hornets,New Orleans Pelicans,101.0,96.0,39.0,36.0,99.09733124018838,93.53078721745908,94.19152276295134,98.40218238503508,197.0
Philadelphia 76ers,Chicago Bulls,101.0,115.0,36.0,42.0,96.4845242644249,117.58691206543968,109.85861673672144,103.27198364008181,216.0
Detroit Pistons,Utah Jazz,98.0,95.0,38.0,38.0,90.70714550166605,87.21997796547925,87.93039614957424,89.97429305912597,193.0
Atlanta Hawks,Toronto Raptors,108.0,93.0,39.0,37.0,102.85714285714285,88.1683731513083,88.57142857142857,102.3890784982935,201.0
Dallas Mavericks,Houston Rockets,104.0,97.0,36.0,35.0,110.49723756906076,103.2793867120954,103.05992350191244,110.73253833049404,201.0
Memphis Grizzlies,San Antonio Spurs,108.0,85.0,38.0,36.0,113.68421052631578,87.48456154796213,89.47368421052632,111.15685467270482,193.0
Portland Trail Blazers,Minnesota Timberwolves,114.0,123.0,45.0,45.0,120.40557667934092,129.14741705165898,129.91128010139417,119.69760604787905,237.0
LA Clippers,Boston Celtics,113.0,102.0,39.0,35.0,106.92657077971232,96.99505515405097,96.51778955336864,107.45530620007608,215.0
Miami Heat,Sacramento Kings,89.0,88.0,38.0,31.0,93.52669188734762,91.74311926605505,92.47583018074822,92.78565471226021,177.0
Oklahoma City Thunder,Washington Wizards,112.0,121.0,42.0,45.0,107.65090349865436,120.08733624454149,116.30142252979623,111.155220325526,233.0
